N;Q
0.9999999999997726; 236.26707132018078
1.9999999999997726; 236.1464663403202
3; 236.06830426003145
4; 236.02076445892436
4.999999999999773; 235.99202631660862
5.999999999999773; 235.97026921269398
6.999999999999773; 235.9434978683695
8; 235.89797643907139
9; 235.8189700092472
9.999999999999773; 235.69173178676783
10.999999999999773; 235.50151497950387
12; 235.2341747643646
13; 234.89638893302975
14; 234.5204805798956
14.999999999999773; 234.14035244667704
15.999999999999773; 233.78990727508898
17; 233.5030246894514
18; 233.29862821581878
19; 233.15496589591413
19.999999999999773; 233.0434361729873
20.999999999999773; 232.9354374902884
22; 232.8023682910673
23; 232.62033854534195
23.999999999999773; 232.39607607181438
24.999999999999773; 232.14854380305263
25.999999999999773; 231.896736812355
27; 231.65965017301963
28; 231.4554585800403
28.999999999999773; 231.2873029132413
29.999999999999773; 231.14515488157267
31; 231.0185407957838
32; 230.8969869666239
33; 230.77002442128543
33.99999999999977; 230.62769786438852
34.99999999999977; 230.46102035619893
36; 230.26111223422782
37; 230.01909383598652
37.99999999999977; 229.72608549898632
38.99999999999977; 229.3773569718221
39.99999999999977; 228.98628429842387
41; 228.57118092223283
42; 228.15036039706035
42.99999999999977; 227.74213627671804
43.99999999999977; 227.36386849323043
44.99999999999977; 227.0223945227727
46; 226.71802144782663
47; 226.4509585482212
47.99999999999977; 226.22141510378557
48.99999999999977; 226.0296015698126
49.99999999999977; 225.87577653594704
51; 225.76026256834047
52; 225.68338665766078
52.99999999999977; 225.6454757945759
53.99999999999977; 225.64684962167303
55; 225.67845300149617
56; 225.70349277698907
56.99999999999977; 225.68007009604207
57.99999999999977; 225.56628610654548
58.99999999999977; 225.3202419563898
60; 224.90973989192344
61; 224.37166917604662
61.99999999999977; 223.77289140903986
62.99999999999977; 223.18038955434727
63.99999999999977; 222.6611465754129
65; 222.27962170794237
66; 222.04775056457729
66.99999999999977; 221.9278412877336
67.99999999999977; 221.88025810685298
68.99999999999977; 221.86536525137697
70; 221.84361508160467
71; 221.78832114604012
